ParentLocation,Location,other_1,other_2,SDG1.a,SDG16.1,SDG3.1_1,SDG3.2_1,SDG3.2_2,SDG3.2_3,SDG3.3_1,SDG3.3_2,SDG3.3_3,SDG3.3_4,SDG3.3_5,SDG3.4_1,SDG3.4_2,SDG3.4_3,SDG3.4_4,SDG3.4_5,SDG3.4_6,SDG3.5,SDG3.6,SDG3.8_1,SDG3.8_2,SDG3.9_1,SDG3.9_3,SDG3.b_1,SDG3.b_2,SDG3.b_3,SDG3.b_4,SDG3.c_1,SDG3.c_2,SDG3.c_3,SDG3.c_4,SDG3.d_1,SDG3.7,SDG3.a,SDG3.1_2,SDG3.b_5
Americas,Bahamas,72.92,20.88,14.56,32.36,72,9.974424552429667,18.67007672634271,16.112531969309465,0.1687997536037032,27,-19.235611657846352,0.31,4077,159.2,43.37595907928388,201.20204603580567,12.025575447570333,3.57,17.95,4.7,8.2,32.86,75,0.18,0.069,2.79132199473366,74,94,94,26.251748877137643,53.80582362996031,4.8072359347542974,6.0639883795107385,75,34.00507208854986,10.9,99,19
Eastern Mediterranean,Bahrain,76.46,19.67,8.49,0.36,15,4.842105263157895,11.157894736842104,9.614035087719298,-0.36624884335402097,12,-40.46874154080592,0.18,3,56.81,45.69122807017544,77.6842105263158,10.161403508771931,7.66,31.27,1.4,6.94,32.86,77,0.22,0.04,1.850460384597478,99,99,99,30.411162746521917,63.363678344025345,5.631970385531272,7.1130235282337475,96,13.9,25.3,99.7,59.59166134198
South-East Asia,Bangladesh,73.58,20.9,3.02,2.82,186,39.35760223869606,65.23945701801757,53.3703176395503,0.3043180513494987,221,1.93,1.38,47484224,130.2,16.0194413078698,145.41644165152928,31.26503510236143,3.39,4870.78,0,15.8,52.86,48,0.29,11.94,1.25,92,98,97,4.97,2.64,0.44,3.9571694707264524,76,108,40.1,49.8,63.70162705741554
Americas,Barbados,76.22,21.4,9.29,11.18,30,9.824561403508772,14.736842105263158,13.68421052631579,0.22,1.2,-60.97763571849306,0.34,1433,100.4,94.80701754385964,325.05263157894734,40.35087719298245,0.62,26.01,10,5.6,37.14,77,0.61,0.16,2.5454297921159545,87,97,96,30.44774525343448,60.779873617833594,5.51111000026091,6.770515359337132,84,23.03124173194067,8.8,99.1,15
Europe,Belarus,73.82,19.23,10.31,3.63,3,1.8354430379746836,4.609704641350211,3.4704641350210967,0.24,42,-77.03832326749414,0.2,0,160.6,4.734177215189874,795,24.018987341772153,24.19,1102.06,11.1,8.91,42.86,76,3.54,0.052,0.6,98,98,83.18571425177345,30.139485739748483,57.756518579878986,5.3388184470898,6.387556521041291,84.21972466784547,16,27.5,99.33107471127855,41.99017876607765
Europe,Belgium,80.71,23.59,14.72,1.44,5,2.4123965486881493,4.199683042789223,3.3808769149498152,-0.22763667039028312,10,-94.56539618073658,0.18,20,71.56,13.83166050360979,271.1216763514703,77.65451664025356,19.27,947.33,11.8,5.79,44.29,84,0.31,0.28,1.3445399694517355,85,98,94,30.68,73.78145546717816,7.47,12.22,82,6.2,25.5,102.86601381825332,67
Americas,Belize,74.05,21.47,11.99,35.5,39,20.708446866485012,31.062670299727518,26.702997275204357,0.16741558297048403,37,0.016,1.49,7312,179.3,40.08174386920981,97.4659400544959,15.896457765667577,5.84,10.53,7.2,28.19,35.71,64,0.3,0.97,8.41,96,95,83.98532726191162,21.375861356373466,21.44,3.946199894248906,5.124620259767826,76.66967539771231,69.2,20.884451708399986,87.64252522481068,60.5989774668419
Africa,Benin,61.96,17.01,3.73,6.39,408,118.22111846946284,350.07358351729215,229.4701986754967,0.39,59,444.5,5.55,6938376,242.4,21.10927152317881,120.99889624724062,20.318248712288447,8.03,344.62,2.6,27.46,41.43,40,2.84,59.73,4.39,52.21104838671519,76,73,0.48,7.6,0.008,0.012,28,108,7.8,58.35706066094603,76.92753813772607
South-East Asia,Bhutan,72.15,19.16,8.3,1.66,193,29.573934837092732,51.50375939849624,42.73182957393484,0.12859311589665307,193,0.028,0.81,241761,207,23.23308270676692,142.35588972431077,71.441102756892235,4.47,29.51,0.3,18.87,41.43,62,0.27,3.95,2.57,90,98,83.40204582226853,4.06,15.33,3.4354412768736386,0.31,76,53.56701717351011,19.321072896692527,89,98
Americas,Bolivia (Plurinational State of),71.52,18.51,11.09,8.52,161,37.49081557678178,66.8626010286554,54.21565025716385,0.1,114,1.5,0.2,1879813,182.2,56.55767817781043,185.6998530492285,44.076047024246876,6.63,568.16,4.2,15.29,50,68,0.63,5.58,1.69,78.7590958837941,87,87,15.9,11.18,2.2,2.25,77,48.71909064018917,21.78008764935648,89.8,57.61198751737137
Europe,Bosnia and Herzegovina,76.32,19.85,15.49,1.64,10,3.696332101222633,5.231731589422803,4.464031845322718,0.94874635875748,33,-54.91382638357207,0.3,0,92.03,69.91754336081888,532.7836224054591,34.74552175149275,10.51,340.95,7.2,16.3,35.71,61,0.4,0.079,9.93,78,78,83.11646354681424,27.992483836636403,54.73,4.983490032066725,6.03929948818785,57,11,39.1,99.9,45.520134216825454
